,score,names_wga,dates_wga,names_artuk,dates_artuk,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma,artist_id_artuk,Unnamed: 9,Unnamed: 10,Unnamed: 11
1177,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[mason, o. j.]","[1966, 1966]",0,wiki_hovhannes-zardaryan,"artuk_mason, o. j., (active 1966-1966)","(956, 3908)",12.0,"[48, 7.0]"
1178,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[woods, padraic, woods, padraic john, woods, patrick j.]","[1893, 1991]",0,wiki_hovhannes-zardaryan,"artuk_woods, padraic john, (1893-1991)","(956, 6544)",11.0,"[25, 18.0]"
1179,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[patrick, j. mcintosh, patrick, james mcintosh]","[1907, 1998]",0,wiki_hovhannes-zardaryan,"artuk_patrick, james mcintosh, (1907-1998)","(956, 4608)",59.0,"[11, 25.0]"
1180,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[witherop, j. coburn, witherop, jack coburn]","[1906, 1984]",0,wiki_hovhannes-zardaryan,"artuk_witherop, jack coburn, (1906-1984)","(956, 6504)",21.0,"[12, 11.0]"
1181,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[b., j.]","[1890.0, 2003.0]",0,wiki_hovhannes-zardaryan,"artuk_b., j.","(956, 204)",11.0,"[28.0, 30.0]"
1182,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[dawson, montagu j., dawson, montague, dawson, montague j.]","[1895, 1973]",0,wiki_hovhannes-zardaryan,"artuk_dawson, montague j., (1895-1973)","(956, 1466)",13.0,"[23, 0.0]"
1183,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[stroudley, james, stroudley, l. j.]","[1906, 1985]",0,wiki_hovhannes-zardaryan,"artuk_stroudley, james, (1906-1985)","(956, 5655)",9.0,"[12, 12.0]"
1184,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[davies, m. j.]","[1896.0, 1973.0]",0,wiki_hovhannes-zardaryan,"artuk_davies, m. j., (active 1896-1913)","(956, 1442)",12.0,"[22.0, 0.0]"
1185,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[cook, j. kingsley, cook, john kingsley]","[1911, 1994]",0,wiki_hovhannes-zardaryan,"artuk_cook, john kingsley, (1911-1994)","(956, 1182)",6.0,"[7, 21.0]"
1186,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[goddall, j. s., goodall, john s., goodall, john strickland]","[1908, 1996]",0,wiki_hovhannes-zardaryan,"artuk_goodall, john strickland, (1908-1996)","(956, 2329)",6.0,"[10, 23.0]"
1187,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]","[chalker, j. bridger, chalker, jack, chalker, jack bridger]","[1918, 2014]",0,wiki_hovhannes-zardaryan,"artuk_chalker, jack, (1918-2014)","(956, 952)",11.0,"[0, 41.0]"
1188,100.0,"[heemskerck van beest, jacoba berendina van (jkvr.), heemskerck van beest, j. van (jkvr.), heemskerck, jacoba van, heemskerck van beest, jacoba berendina, heemskerck van beest, jacoba, heemskerck van beest, jakoba, heemskerck van beest, jacoba van, heemskerck van beest, jacoba berendina van, jacoba van heemskerck, beest, jacoba van]","[1876, 1923]","[j., pryde, james, pryde, james ferrier, pryde, jimmy]","[1866, 1941]",0,wiki_jacoba-van-heemskerck,"artuk_pryde, james ferrier, (1866-1941)","(1030, 4850)",67.0,"[10, 18]"
1189,100.0,"[archer, james a., james archer]","[1821, 1903.0]","[archer, james]","[1823, 1904]",1,wiki_james-archer,"artuk_archer, james, (1823-1904)","(1044, 140)",75.0,"[2, 1.0]"
1190,100.0,[james campbell],"[1828, 1893]","[campbell, j., dickson, j. a., dickson, j. a. c., dickson, james archibald campbell]","[1836, 1846]",0,wiki_james-campbell,"artuk_campbell, j.","(1047, 866)",16.0,"[8, 47]"
1191,89.0,"[noble, j. c., noble, james campbell, noble, j. cambell, james campbell noble]","[1846, 1913]","[noble, j. s., noble, john sargeant, noble, john sargent]","[1848, 1896]",0,wiki_james-campbell-noble,"artuk_noble, john sargeant, (1848-1896)","(4427, 1048)",31.0,"[2, 17]"
1192,100.0,"[noble, j. c., noble, james campbell, noble, j. cambell, james campbell noble]","[1846, 1913]","[burbanck, j. m., burbank, j. m., burbank, j. m. (junior), j., j.]","[1863, 1873]",0,wiki_james-campbell-noble,"artuk_j., j.","(1048, 3129)",18.0,"[17, 40]"
